State,Percentage of Pell Grantees,Median Federal Debt for All Students,Median Federal Debt of Pell Grantees,Nonrepayment Rate for Pell Students,Nonrepayment Rate for All Students,"Average Cost for Low-Income Students, Per Year",Default Rate for All Students,"Percentage of All Students Earning $25K or Less Per Year, 10 Years After Enrolling"
The University of Texas at San Antonio,0.432,23348,18000,0.498,0.452,8462,0.086,0.205
The University of Texas Rio Grande Valley,0.630,12037,9000,0.507,0.497,1715,0.108,0.283
The University of West Florida,0.392,18750,13238,0.526,0.468,8387,0.075,0.281
Trevecca Nazarene University,0.404,19500,14500,0.417,0.364,16185,0.040,0.262
Trinity International University-Illinois,0.489,27000,15500,0.514,0.441,18661,0.061,0.268
Tufts University,0.114,18000,14000,0.141,0.099,10574,0.015,0.123
Tulane University of Louisiana,0.154,27000,24000,0.498,0.380,29089,0.041,0.186
Union Institute & University,0.586,18750,17000,0.597,0.438,23159,0.051,0.279
Union University,0.277,25000,21500,0.456,0.344,20815,0.035,0.227
University at Buffalo,0.297,19500,16401,0.373,0.307,10146,0.031,0.179
University of Akron Main Campus,0.393,26000,17547,0.628,0.535,15204,0.126,0.334
University of Alabama at Birmingham,0.346,21942,17350,0.549,0.499,12453,0.062,0.261
University of Alabama in Huntsville,0.307,24097,18688,0.539,0.472,15224,0.061,0.235
University of Alaska Fairbanks,0.226,19355,13169,0.564,0.483,6952,0.125,0.322
University of Arizona,0.335,19000,14750,0.400,0.341,11562,0.060,0.217
University of Arkansas,0.236,21500,16500,0.414,0.344,10703,0.063,0.227
University of Arkansas at Little Rock,0.394,21736,14000,0.633,0.579,12616,0.086,0.323
University of California-Berkeley,0.314,14200,13500,0.267,0.241,8607,0.029,0.156
University of California-Davis,0.428,14833,13167,0.221,0.200,10492,0.027,0.153
University of California-Irvine,0.454,17000,15009,0.276,0.254,8532,0.023,0.166
University of California-Los Angeles,0.359,16126,15650,0.258,0.229,8027,0.015,0.163
University of California-Riverside,0.575,19500,17224,0.382,0.363,9678,0.043,0.210
University of California-San Diego,0.401,19000,18900,0.211,0.190,8362,0.025,0.152
University of California-Santa Barbara,0.381,16800,14900,0.335,0.285,10190,0.040,0.184
University of California-Santa Cruz,0.460,19884,17526,0.323,0.280,10862,0.034,0.256
University of Central Florida,0.381,18350,15750,0.451,0.394,10637,0.043,0.209
University of Chicago,0.125,12500,12838,0.163,0.132,8964,0.014,0.153
University of Cincinnati-Main Campus,0.257,23100,16715,0.547,0.434,16089,0.080,0.269
University of Colorado Boulder,0.175,19500,17250,0.363,0.283,14071,0.027,0.211
University of Colorado Denver/Anschutz Medical Campus,0.270,21500,16250,0.465,0.388,10153,0.031,0.186
University of Connecticut,0.207,21500,19693,0.283,0.206,12936,0.027,0.140
University of Dayton,0.116,26000,27000,0.219,0.146,26745,0.019,0.161
University of Delaware,0.136,24195,22085,0.334,0.206,10643,0.024,0.131
University of Denver,0.176,23166,22500,0.363,0.270,19878,0.014,0.161
University of Florida,0.315,15000,14063,0.378,0.343,7207,0.030,0.168
University of Georgia,0.238,19000,18461,0.395,0.338,8558,0.029,0.187
University of Hartford,0.277,26960,19944,0.434,0.306,24058,0.042,0.220
University of Hawaii at Manoa,0.302,19000,14658,0.341,0.298,7506,0.035,0.216
University of Houston,0.385,19703,16188,0.426,0.393,9421,0.062,0.178
University of Idaho,0.399,24428,20000,0.429,0.383,10655,0.064,0.250
University of Illinois at Chicago,0.512,18750,14500,0.361,0.326,9663,0.032,0.182
University of Illinois at Urbana-Champaign,0.206,20500,19500,0.295,0.222,7801,0.021,0.134
University of Iowa,0.188,21612,20000,0.368,0.282,8584,0.032,0.158
University of Kansas,0.222,19793,16500,0.426,0.335,15089,0.044,0.194
University of Kentucky,0.247,21500,16650,0.471,0.386,10051,0.055,0.214
University of La Verne,0.455,24894,24250,0.607,0.514,16715,0.038,0.185
University of Louisiana at Lafayette,0.331,20250,13750,0.507,0.435,6841,0.076,0.281
University of Louisiana at Monroe,0.399,21083,12791,0.570,0.506,7558,0.094,0.315
University of Louisville,0.293,20493,14854,0.478,0.412,10479,0.074,0.253
University of Maine,0.335,26150,19500,0.334,0.266,13150,0.047,0.230
University of Maryland Eastern Shore,0.535,27000,17500,0.796,0.761,11345,0.160,0.311
University of Maryland-Baltimore County,0.274,21943,19446,0.379,0.332,11501,0.049,0.156
University of Maryland-College Park,0.196,19500,17750,0.282,0.212,6938,0.020,0.124
University of Massachusetts-Amherst,0.253,24300,22750,0.320,0.255,11064,0.040,0.182
University of Massachusetts-Dartmouth,0.383,25750,21000,0.454,0.348,10248,0.057,0.228
University of Massachusetts-Lowell,0.288,25000,21500,0.456,0.380,10718,0.053,0.204
University of Memphis,0.466,25250,20250,0.723,0.647,9894,0.098,0.160
University of Miami,0.176,21500,21500,0.319,0.245,24792,0.020,0.299
University of Michigan-Ann Arbor,0.157,20496,19566,0.336,0.241,5470,0.016,0.179
University of Minnesota-Twin Cities,0.208,20500,19383,0.339,0.259,8650,0.026,0.145
University of Mississippi,0.284,20500,17918,0.535,0.428,13678,0.080,0.169
University of Missouri-Columbia,0.214,21647,19328,0.397,0.303,13035,0.042,0.220
University of Missouri-Kansas City,0.321,20605,18000,0.537,0.458,16488,0.072,0.165
University of Missouri-St Louis,0.293,21114,18910,0.535,0.460,9704,0.076,0.226
University of Nebraska at Omaha,0.326,20000,14158,0.425,0.362,9066,0.050,0.231
University of Nebraska-Lincoln,0.199,21500,16000,0.316,0.274,11395,0.035,0.211
University of Nevada-Las Vegas,0.351,19000,12773,0.537,0.490,10041,0.077,0.188
University of Nevada-Reno,0.298,18733,13750,0.381,0.336,11779,0.055,0.237
University of New Hampshire-Main Campus,0.225,27000,26142,0.244,0.174,15985,0.020,0.207
University of New Mexico-Main Campus,0.387,19576,15000,0.569,0.517,9056,0.130,0.172
University of New Orleans,0.330,16989,12000,0.532,0.492,7142,0.075,0.330
University of North Carolina at Chapel Hill,0.213,16149,13451,0.226,0.181,4431,0.016,0.294
University of North Carolina at Charlotte,0.405,23187,18174,0.429,0.368,8307,0.055,0.155
University of North Carolina at Greensboro,0.445,22864,17044,0.493,0.425,7923,0.060,0.211
University of North Dakota,0.205,24000,19929,0.284,0.225,12248,0.035,0.263
University of North Texas,0.370,20000,15250,0.509,0.434,1875,0.076,0.162
